emoji,desc,unicode
👨🏼‍🤝‍👨🏿,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Chiara E Carnagione Scura,U+1F468 U+1F3FC U+200D U+1F91D U+200D U+1F468 U+1F3FF
👨🏽‍🤝‍👨🏻,Due Uomini Che Si Tengono Per Mano Carnagione Olivastra E Carnagione Chiara,U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FB
👨🏽‍🤝‍👨🏼,Due Uomini Che Si Tengono Per Mano Carnagione Olivastra E Carnagione Abbastanza Chiara,U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FC
👬🏽,Due Uomini Che Si Tengono Per Mano Carnagione Olivastra,U+1F46C U+1F3FD
👨🏽‍🤝‍👨🏾,Due Uomini Che Si Tengono Per Mano Carnagione Olivastra E Carnagione Abbastanza Scura,U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FE
👨🏽‍🤝‍👨🏿,Due Uomini Che Si Tengono Per Mano Carnagione Olivastra E Carnagione Scura,U+1F468 U+1F3FD U+200D U+1F91D U+200D U+1F468 U+1F3FF
👨🏾‍🤝‍👨🏻,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Scura E Carnagione Chiara,U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FB
👨🏾‍🤝‍👨🏼,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Scura E Carnagione Abbastanza Chiara,U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FC
👨🏾‍🤝‍👨🏽,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Scura E Carnagione Olivastra,U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FD
👬🏾,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Scura,U+1F46C U+1F3FE
👨🏾‍🤝‍👨🏿,Due Uomini Che Si Tengono Per Mano Carnagione Abbastanza Scura E Carnagione Scura,U+1F468 U+1F3FE U+200D U+1F91D U+200D U+1F468 U+1F3FF
👨🏿‍🤝‍👨🏻,Due Uomini Che Si Tengono Per Mano Carnagione Scura E Carnagione Chiara,U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FB
👨🏿‍🤝‍👨🏼,Due Uomini Che Si Tengono Per Mano Carnagione Scura E Carnagione Abbastanza Chiara,U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FC
👨🏿‍🤝‍👨🏽,Due Uomini Che Si Tengono Per Mano Carnagione Scura E Carnagione Olivastra,U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FD
👨🏿‍🤝‍👨🏾,Due Uomini Che Si Tengono Per Mano Carnagione Scura E Carnagione Abbastanza Scura,U+1F468 U+1F3FF U+200D U+1F91D U+200D U+1F468 U+1F3FE
👬🏿,Due Uomini Che Si Tengono Per Mano Carnagione Scura,U+1F46C U+1F3FF
💏,Bacio Tra Coppia,U+1F48F
👩‍❤️‍💋‍👨,Bacio Tra Coppia Donna E Uomo,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468
👨‍❤️‍💋‍👨,Bacio Tra Coppia Uomo E Uomo,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468
👩‍❤️‍💋‍👩,Bacio Tra Coppia Donna E Donna,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469
💑,Coppia Con Cuore,U+1F491
👩‍❤️‍👨,Coppia Con Cuore Donna E Uomo,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468
👨‍❤️‍👨,Coppia Con Cuore Uomo E Uomo,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468
👩‍❤️‍👩,Coppia Con Cuore Donna E Donna,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469
👪,Famiglia,U+1F46A
👨‍👩‍👦,Famiglia Uomo Donna E Bambino,U+1F468 U+200D U+1F469 U+200D U+1F466
👨‍👩‍👧,Famiglia Uomo Donna E Bambina,U+1F468 U+200D U+1F469 U+200D U+1F467
👨‍👩‍👧‍👦,Famiglia Uomo Donna Bambina E Bambino,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466
👨‍👩‍👦‍👦,Famiglia Uomo Donna Bambino E Bambino,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466
👨‍👩‍👧‍👧,Famiglia Uomo Donna Bambina E Bambina,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467
👨‍👨‍👦,Famiglia Uomo Uomo E Bambino,U+1F468 U+200D U+1F468 U+200D U+1F466
👨‍👨‍👧,Famiglia Uomo Uomo E Bambina,U+1F468 U+200D U+1F468 U+200D U+1F467
👨‍👨‍👧‍👦,Famiglia Uomo Uomo Bambina E Bambino,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466
👨‍👨‍👦‍👦,Famiglia Uomo Uomo Bambino E Bambino,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466
👨‍👨‍👧‍👧,Famiglia Uomo Uomo Bambina E Bambina,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467
👩‍👩‍👦,Famiglia Donna Donna E Bambino,U+1F469 U+200D U+1F469 U+200D U+1F466
👩‍👩‍👧,Famiglia Donna Donna E Bambina,U+1F469 U+200D U+1F469 U+200D U+1F467
👩‍👩‍👧‍👦,Famiglia Donna Donna Bambina E Bambino,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466
👩‍👩‍👦‍👦,Famiglia Donna Donna Bambino E Bambino,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466
👩‍👩‍👧‍👧,Famiglia Donna Donna Bambina E Bambina,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467
👨‍👦,Famiglia Uomo E Bambino,U+1F468 U+200D U+1F466
👨‍👦‍👦,Famiglia Uomo Bambino E Bambino,U+1F468 U+200D U+1F466 U+200D U+1F466
👨‍👧,Famiglia Uomo E Bambina,U+1F468 U+200D U+1F467
👨‍👧‍👦,Famiglia Uomo Bambina E Bambino,U+1F468 U+200D U+1F467 U+200D U+1F466
👨‍👧‍👧,Famiglia Uomo Bambina E Bambina,U+1F468 U+200D U+1F467 U+200D U+1F467
👩‍👦,Famiglia Donna E Bambino,U+1F469 U+200D U+1F466
👩‍👦‍👦,Famiglia Donna Bambino E Bambino,U+1F469 U+200D U+1F466 U+200D U+1F466
👩‍👧,Famiglia Donna E Bambina,U+1F469 U+200D U+1F467
👩‍👧‍👦,Famiglia Donna Bambina E Bambino,U+1F469 U+200D U+1F467 U+200D U+1F466
👩‍👧‍👧,Famiglia Donna Bambina E Bambina,U+1F469 U+200D U+1F467 U+200D U+1F467
🗣️,Persona Che Parla,U+1F5E3 U+FE0F
👤,Profilo Di Persona,U+1F464
👥,Profilo Di Due Persone,U+1F465
🫂,Persone Che Si Abbracciano,U+1FAC2
👣,Impronta Di Piedi,U+1F463
🏻,Carnagione Chiara,U+1F3FB
🏼,Carnagione Abbastanza Chiara,U+1F3FC
🏽,Carnagione Olivastra,U+1F3FD
🏾,Carnagione Abbastanza Scura,U+1F3FE
🏿,Carnagione Scura,U+1F3FF
🦰,Capelli Rossi,U+1F9B0
🦱,Capelli Ricci,U+1F9B1
🦳,Capelli Bianchi,U+1F9B3
🦲,Calvo,U+1F9B2
🐵,Muso Di Scimmia,U+1F435
🐒,Scimmia,U+1F412
🦍,Gorilla,U+1F98D
🦧,Orangotango,U+1F9A7
🐶,Muso Di Cane,U+1F436
🐕,Cane,U+1F415
🦮,Cane Guida,U+1F9AE
🐕‍🦺,Cane Da Assistenza,U+1F415 U+200D U+1F9BA
🐩,Barboncino,U+1F429
🐺,Lupo,U+1F43A
🦊,Volpe,U+1F98A
🦝,Procione,U+1F99D
🐱,Muso Di Gatto,U+1F431
🐈,Gatto,U+1F408
🐈‍⬛,Gatto Nero,U+1F408 U+200D U+2B1B
🦁,Leone,U+1F981
🐯,Muso Di Tigre,U+1F42F
🐅,Tigre,U+1F405
🐆,Leopardo,U+1F406
🐴,Muso Di Cavallo,U+1F434
🐎,Cavallo,U+1F40E
🦄,Unicorno,U+1F984
🦓,Zebra,U+1F993
🦌,Cervo,U+1F98C
🦬,Bisonte,U+1F9AC
🐮,Muso Di Mucca,U+1F42E
🐂,Bue,U+1F402
🐃,Bufalo D’acqua,U+1F403
🐄,Mucca,U+1F404
🐷,Muso Di Maiale,U+1F437
🐖,Maiale,U+1F416
🐗,Cinghiale,U+1F417
🐽,Naso Da Maiale,U+1F43D
🐏,Montone,U+1F40F
🐑,Pecora,U+1F411
🐐,Capra,U+1F410
🐪,Dromedario,U+1F42A
🐫,Cammello,U+1F42B
🦙,Lama,U+1F999
🦒,Giraffa,U+1F992
🐘,Elefante,U+1F418
🦣,Mammut,U+1F9A3
🦏,Rinoceronte,U+1F98F
🦛,Ippopotamo,U+1F99B
🐭,Muso Di Topo,U+1F42D
🐁,Topo,U+1F401
🐀,Ratto,U+1F400
🐹,Criceto,U+1F439
🐰,Muso Di Coniglio,U+1F430
🐇,Coniglio,U+1F407
🐿️,Scoiattolo,U+1F43F U+FE0F
🦫,Castoro,U+1F9AB
🦔,Riccio,U+1F994
🦇,Pipistrello,U+1F987
🐻,Orso,U+1F43B
🐻‍❄️,Orso Polare,U+1F43B U+200D U+2744 U+FE0F
🐨,Koala,U+1F428
🐼,Panda,U+1F43C
🦥,Bradipo,U+1F9A5
🦦,Lontra,U+1F9A6
🦨,Puzzola,U+1F9A8
🦘,Canguro,U+1F998
🦡,Tasso,U+1F9A1
🐾,Impronte Di Zampe,U+1F43E
🦃,Tacchino,U+1F983
🐔,Gallina,U+1F414
🐓,Gallo,U+1F413
🐣,Pulcino Che Nasce,U+1F423
🐤,Pulcino,U+1F424
🐥,Pulcino Visto Di Fronte,U+1F425
🐦,Uccello,U+1F426
🐧,Pinguino,U+1F427
🕊️,Colomba,U+1F54A U+FE0F
🦅,Aquila,U+1F985
🦆,Anatra,U+1F986
🦢,Cigno,U+1F9A2
🦉,Gufo,U+1F989
🦤,Dodo,U+1F9A4
🪶,Piuma,U+1FAB6
🦩,Fenicottero,U+1F9A9
🦚,Pavone,U+1F99A
🦜,Pappagallo,U+1F99C
🐸,Rana,U+1F438
🐊,Coccodrillo,U+1F40A
🐢,Tartaruga,U+1F422
🦎,Lucertola,U+1F98E
🐍,Serpente,U+1F40D
🐲,Testa Di Drago,U+1F432
🐉,Drago,U+1F409
🦕,Sauropode,U+1F995
🦖,T-Rex,U+1F996
🐳,Balena Che Spruzza Acqua,U+1F433
🐋,Balena,U+1F40B
🐬,Delfino,U+1F42C
🦭,Foca,U+1F9AD
🐟,Pesce,U+1F41F
🐠,Pesce Tropicale,U+1F420
🐡,Pesce Palla,U+1F421
🦈,Squalo,U+1F988
🐙,Polpo,U+1F419
🐚,Conchiglia,U+1F41A
🐌,Lumaca,U+1F40C
🦋,Farfalla,U+1F98B
🐛,Insetto,U+1F41B
🐜,Formica,U+1F41C
🐝,Ape,U+1F41D
🪲,Coleottero,U+1FAB2
🐞,Coccinella,U+1F41E
🦗,Grillo,U+1F997
🪳,Scarafaggio,U+1FAB3
🕷️,Ragno,U+1F577 U+FE0F
🕸️,Ragnatela,U+1F578 U+FE0F
🦂,Scorpione,U+1F982
🦟,Zanzara,U+1F99F
🪰,Mosca,U+1FAB0
🪱,Verme,U+1FAB1
🦠,Microbo,U+1F9A0
💐,Mazzo Di Fiori,U+1F490
🌸,Fiore Di Ciliegio,U+1F338
💮,Fiore Bianco,U+1F4AE
🏵️,Rosetta,U+1F3F5 U+FE0F
🌹,Rosa,U+1F339
🥀,Fiore Appassito,U+1F940
🌺,Ibisco,U+1F33A
🌻,Girasole,U+1F33B
🌼,Fiore,U+1F33C
🌷,Tulipano,U+1F337
🌱,Germoglio,U+1F331
🪴,Pianta In Vaso,U+1FAB4
🌲,Albero Sempreverde,U+1F332
🌳,Albero Deciduo,U+1F333
🌴,Palma,U+1F334
🌵,Cactus,U+1F335
🌾,Pianta Di Riso,U+1F33E
🌿,Pianta,U+1F33F
☘️,Trifoglio,U+2618 U+FE0F
🍀,Quadrifoglio,U+1F340
🍁,Foglia D’acero,U+1F341
🍂,Foglia Caduta,U+1F342
🍃,Foglia Al Vento,U+1F343
🍇,Uva,U+1F347
🍈,Melone,U+1F348
🍉,Anguria,U+1F349
🍊,Mandarino,U+1F34A
🍋,Limone,U+1F34B
🍌,Banana,U+1F34C
🍍,Ananas,U+1F34D
🥭,Mango,U+1F96D
🍎,Mela Rossa,U+1F34E
🍏,Mela Verde,U+1F34F
🍐,Pera,U+1F350
🍑,Pesca,U+1F351
🍒,Ciliegie,U+1F352
🍓,Fragola,U+1F353
🫐,Mirtilli,U+1FAD0
🥝,Kiwi,U+1F95D
🍅,Pomodoro,U+1F345
🫒,Oliva,U+1FAD2
🥥,Cocco,U+1F965
🥑,Avocado,U+1F951
🍆,Melanzana,U+1F346
🥔,Patata,U+1F954
🥕,Carota,U+1F955
🌽,Pannocchia,U+1F33D
🌶️,Peperoncino,U+1F336 U+FE0F
🫑,Peperone,U+1FAD1
🥒,Cetriolo,U+1F952
🥬,Verdure A Foglia,U+1F96C
🥦,Broccoli,U+1F966
🧄,Aglio,U+1F9C4
🧅,Cipolla,U+1F9C5
🍄,Fungo,U+1F344
🥜,Arachidi,U+1F95C
🌰,Castagna,U+1F330
🍞,Pane In Cassetta,U+1F35E
🥐,Croissant,U+1F950
🥖,Baguette,U+1F956
🫓,Focaccia,U+1FAD3
🥨,Pretzel,U+1F968
🥯,Bagel,U+1F96F
🥞,Pancake,U+1F95E
🧇,Waffle,U+1F9C7
🧀,Fetta Di Formaggio,U+1F9C0
🍖,Carne,U+1F356
🍗,Coscia Di Pollo,U+1F357
🥩,Taglio Di Carne,U+1F969
🥓,Pancetta,U+1F953
🍔,Hamburger,U+1F354
🍟,Patatine,U+1F35F
🍕,Pizza,U+1F355
🌭,Hot Dog,U+1F32D
🥪,Sandwich,U+1F96A
🌮,Taco,U+1F32E
🌯,Burrito,U+1F32F
🫔,Tamal,U+1FAD4
🥙,Pita Farcita,U+1F959
🧆,Falafel,U+1F9C6
🥚,Uovo,U+1F95A
🍳,Cucinare,U+1F373
🥘,Padella Con Cibo,U+1F958
🍲,Ciotola Di Cibo,U+1F372
🫕,Fonduta,U+1FAD5
🥣,Ciotola Con Cucchiaio,U+1F963
🥗,Insalata Verde,U+1F957
🍿,Popcorn,U+1F37F
🧈,Burro,U+1F9C8
🧂,Sale,U+1F9C2
🥫,Cibo In Scatola,U+1F96B
🍱,Bento Box,U+1F371
🍘,Galletta Di Riso,U+1F358
🍙,Onigiri,U+1F359
🍚,Riso Bollito,U+1F35A
🍛,Riso Al Curry,U+1F35B
🍜,Ciotola Fumante,U+1F35C
🍝,Spaghetti,U+1F35D
🍠,Patata Dolce Arrosto,U+1F360
🍢,Oden Giapponese,U+1F362
🍣,Sushi,U+1F363
🍤,Gambero Fritto,U+1F364
🍥,Tortino Di Pesce A Spirale,U+1F365
🥮,Torta Della Luna,U+1F96E
🍡,Dolcetto,U+1F361
🥟,Raviolo,U+1F95F
🥠,Biscotto Della Fortuna,U+1F960
🥡,Confezione Da Asporto,U+1F961
🦀,Granchio,U+1F980
🦞,Aragosta,U+1F99E
🦐,Gamberetto,U+1F990
🦑,Calamaro,U+1F991
🦪,Ostrica,U+1F9AA
🍦,Cono Gelato,U+1F366
🍧,Granita,U+1F367
🍨,Coppa Di Gelato,U+1F368
🍩,Ciambella,U+1F369
🍪,Biscotto,U+1F36A
🎂,Torta Di Compleanno,U+1F382
🍰,Fetta Di Torta,U+1F370
🧁,Cupcake,U+1F9C1
🥧,Torta,U+1F967
🍫,Cioccolato,U+1F36B
🍬,Caramella,U+1F36C
🍭,Lecca Lecca,U+1F36D
🍮,Budino,U+1F36E
🍯,Barattolo Di Miele,U+1F36F
🍼,Biberon,U+1F37C
🥛,Bicchiere Di Latte,U+1F95B
☕,Bevanda Calda,U+2615
🫖,Teiera,U+1FAD6
🍵,Tazza Da Tè Senza Manico,U+1F375
🍶,Sake,U+1F376
🍾,Bottiglia Stappata,U+1F37E
🍷,Bicchiere Di Vino,U+1F377
🍸,Cocktail,U+1F378
🍹,Cocktail Tropicale,U+1F379
🍺,Boccale Di Birra,U+1F37A
🍻,Boccali Di Birra,U+1F37B
🥂,Brindisi,U+1F942
🥃,Bicchiere Tumbler,U+1F943
🥤,Bicchiere Con Cannuccia,U+1F964
🧋,Bubble Tea,U+1F9CB
🧃,Bevanda Monodose,U+1F9C3
🧉,Mate,U+1F9C9
🧊,Cubetto Di Ghiaccio,U+1F9CA
🥢,Bacchette,U+1F962
🍽️,Piatto E Posate,U+1F37D U+FE0F
🍴,Forchetta E Coltello,U+1F374
🥄,Cucchiaio,U+1F944
🔪,Coltello Da Cucina,U+1F52A
🏺,Anfora,U+1F3FA
🌍,Europa E Africa,U+1F30D
🌎,America,U+1F30E
🌏,Asia E Australia,U+1F30F
🌐,Globo Con Meridiani,U+1F310
🗺️,Mappa Mondiale,U+1F5FA U+FE0F
🗾,Mappa Del Giappone,U+1F5FE
🧭,Bussola,U+1F9ED
🏔️,Montagna Innevata,U+1F3D4 U+FE0F
⛰️,Montagna,U+26F0 U+FE0F
🌋,Vulcano,U+1F30B
🗻,Monte Fuji,U+1F5FB
🏕️,Campeggio,U+1F3D5 U+FE0F
🏖️,Spiaggia Con Ombrellone,U+1F3D6 U+FE0F
🏜️,Deserto,U+1F3DC U+FE0F
🏝️,Isola Deserta,U+1F3DD U+FE0F
🏞️,Parco Nazionale,U+1F3DE U+FE0F
🏟️,Stadio,U+1F3DF U+FE0F
🏛️,Edificio Classico,U+1F3DB U+FE0F
🏗️,Edificio In Costruzione,U+1F3D7 U+FE0F
🧱,Mattoni,U+1F9F1
🪨,Roccia,U+1FAA8
🪵,Legna,U+1FAB5
🛖,Capanna,U+1F6D6
🏘️,Case,U+1F3D8 U+FE0F
🏚️,Casa In Rovina,U+1F3DA U+FE0F
🏠,Casa,U+1F3E0
🏡,Casa Con Giardino,U+1F3E1
🏢,Edificio,U+1F3E2
🏣,Ufficio Postale Giapponese,U+1F3E3
🏤,Ufficio Postale,U+1F3E4
🏥,Ospedale,U+1F3E5
🏦,Banca,U+1F3E6
🏨,Hotel,U+1F3E8
🏩,Love Hotel,U+1F3E9
🏪,Minimarket,U+1F3EA
🏫,Scuola,U+1F3EB
🏬,Grande Magazzino,U+1F3EC
🏭,Fabbrica,U+1F3ED
🏯,Castello Giapponese,U+1F3EF
🏰,Castello,U+1F3F0
💒,Chiesa Per Matrimonio,U+1F492
🗼,Torre Di Tokyo,U+1F5FC
🗽,Statua Della Libertà,U+1F5FD
⛪,Chiesa,U+26EA
🕌,Moschea,U+1F54C
🛕,Tempio Indù,U+1F6D5
🕍,Sinagoga,U+1F54D
⛩️,Santuario Shintoista,U+26E9 U+FE0F
🕋,Kaaba,U+1F54B
⛲,Fontana,U+26F2
⛺,Tenda,U+26FA
🌁,Nebbioso,U+1F301
🌃,Notte Stellata,U+1F303
🏙️,Paesaggio Urbano,U+1F3D9 U+FE0F
🌄,Alba Sulle Montagne,U+1F304
🌅,Alba,U+1F305
🌆,Città Al Tramonto,U+1F306
🌇,Tramonto,U+1F307
🌉,Ponte Di Notte,U+1F309
♨️,Sorgenti Termali,U+2668 U+FE0F
🎠,Cavallo Da Giostra,U+1F3A0
🎡,Ruota Panoramica,U+1F3A1
🎢,Montagne Russe,U+1F3A2
💈,Barbiere,U+1F488
🎪,Circo,U+1F3AA
🚂,Locomotiva,U+1F682
🚃,Vagone,U+1F683
🚄,Treno Alta Velocità,U+1F684
🚅,Treno Alta Velocità Punta Arrotondata,U+1F685
🚆,Treno,U+1F686
🚇,Metropolitana,U+1F687
🚈,Metrotranvia,U+1F688
🚉,Stazione,U+1F689
🚊,Tram,U+1F68A
🚝,Monorotaia,U+1F69D
🚞,Ferrovia Di Montagna,U+1F69E
🚋,Vagone Del Tram,U+1F68B
🚌,Bus,U+1F68C
🚍,Bus In Arrivo,U+1F68D
🚎,Filobus,U+1F68E
🚐,Pulmino,U+1F690
🚑,Ambulanza,U+1F691
🚒,Camion Dei Pompieri,U+1F692
🚓,Macchina Della Polizia,U+1F693
🚔,Macchina Della Polizia In Arrivo,U+1F694
🚕,Taxi,U+1F695
🚖,Taxi In Arrivo,U+1F696
🚗,Auto,U+1F697
🚘,Auto In Arrivo,U+1F698
🚙,SUV,U+1F699
🛻,Pickup,U+1F6FB
🚚,Camion,U+1F69A
🚛,Autoarticolato,U+1F69B
🚜,Trattore,U+1F69C
🏎️,Auto Da Corsa,U+1F3CE U+FE0F
🏍️,Motocicletta,U+1F3CD U+FE0F
🛵,Scooter,U+1F6F5
🦽,Sedia A Rotelle Manuale,U+1F9BD
🦼,Sedia A Rotelle Motorizzata,U+1F9BC
🛺,Risciò A Motore,U+1F6FA
🚲,Bicicletta,U+1F6B2
🛴,Monopattino,U+1F6F4
🛹,Skateboard,U+1F6F9
🛼,Pattini A Rotelle,U+1F6FC
🚏,Fermata Dell’autobus,U+1F68F
🛣️,Autostrada,U+1F6E3 U+FE0F
🛤️,Binari,U+1F6E4 U+FE0F
🛢️,Barile Di Petrolio,U+1F6E2 U+FE0F
⛽,Stazione Di Servizio,U+26FD
🚨,Lampeggiante,U+1F6A8
🚥,Semaforo Orizzontale,U+1F6A5
🚦,Semaforo Verticale,U+1F6A6
🛑,Segnale Di Stop,U+1F6D1
🚧,Area Cantiere,U+1F6A7
⚓,Ancora,U+2693
⛵,Barca A Vela,U+26F5
🛶,Canoa,U+1F6F6
🚤,Motoscafo,U+1F6A4
🛳️,Nave Da Crociera,U+1F6F3 U+FE0F
⛴️,Traghetto,U+26F4 U+FE0F
🛥️,Barca A Motore,U+1F6E5 U+FE0F
🚢,Nave,U+1F6A2
✈️,Aeroplano,U+2708 U+FE0F
🛩️,Aereo Turistico,U+1F6E9 U+FE0F
🛫,Decollo,U+1F6EB
🛬,Atterraggio,U+1F6EC
🪂,Paracadute,U+1FA82
💺,Sedile,U+1F4BA
🚁,Elicottero,U+1F681
🚟,Funivia,U+1F69F
🚠,Funicolare,U+1F6A0
🚡,Funivia Aerea,U+1F6A1
🛰️,Satellite,U+1F6F0 U+FE0F
🚀,Razzo,U+1F680
🛸,Disco Volante,U+1F6F8
🛎️,Campanello Da Hotel,U+1F6CE U+FE0F
🧳,Valigia,U+1F9F3
⌛,Clessidra,U+231B
⏳,Clessidra Che Scorre,U+23F3
⌚,Orologio,U+231A
⏰,Sveglia,U+23F0
⏱️,Cronometro,U+23F1 U+FE0F
⏲️,Timer,U+23F2 U+FE0F
🕰️,Orologio Da Mensola,U+1F570 U+FE0F
🕛,Ore Dodici,U+1F55B
🕧,Ore Dodici E Mezza,U+1F567
🕐,Ore Una,U+1F550
🕜,Ore Una E Mezza,U+1F55C
🕑,Ore Due,U+1F551
🕝,Ore Due E Mezza,U+1F55D
🕒,Ore Tre,U+1F552
🕞,Ore Tre E Mezza,U+1F55E
🕓,Ore Quattro,U+1F553
🕟,Ore Quattro E Mezza,U+1F55F
🕔,Ore Cinque,U+1F554
🕠,Ore Cinque E Mezza,U+1F560
🕕,Ore Sei,U+1F555
🕡,Ore Sei E Mezza,U+1F561
🕖,Ore Sette,U+1F556
🕢,Ore Sette E Mezza,U+1F562
🕗,Ore Otto,U+1F557
🕣,Ore Otto E Mezza,U+1F563
🕘,Ore Nove,U+1F558
🕤,Ore Nove E Mezza,U+1F564
🕙,Ore Dieci,U+1F559
🕥,Ore Dieci E Mezza,U+1F565
🕚,Ore Undici,U+1F55A
🕦,Ore Undici E Mezza,U+1F566
🌑,Luna Nuova,U+1F311
🌒,Luna Crescente,U+1F312
🌓,Primo Quarto Di Luna,U+1F313
🌔,Luna Gibbosa Crescente,U+1F314
🌕,Luna Piena,U+1F315
🌖,Luna Gibbosa Calante,U+1F316
🌗,Ultimo Quarto Di Luna,U+1F317
🌘,Luna Calante,U+1F318
🌙,Spicchio Di Luna,U+1F319
🌚,Faccina Luna Nuova,U+1F31A
🌛,Faccina Primo Quarto Di Luna,U+1F31B
🌜,Faccina Ultimo Quarto Di Luna,U+1F31C
🌡️,Termometro,U+1F321 U+FE0F
☀️,Sole,U+2600 U+FE0F
🌝,Faccina Luna Piena,U+1F31D
🌞,Faccina Sole,U+1F31E
🪐,Pianeta Con Satellite,U+1FA90
⭐,Stella,U+2B50
🌟,Stella Che Brilla,U+1F31F
🌠,Stella Cadente,U+1F320
🌌,Via Lattea,U+1F30C
☁️,Nuvola,U+2601 U+FE0F
⛅,Sole Coperto,U+26C5
⛈️,Temporale,U+26C8 U+FE0F
🌤️,Parzialmente Nuvoloso,U+1F324 U+FE0F
🌥️,Molto Nuvoloso,U+1F325 U+FE0F
🌦️,Sole Coperto E Pioggia,U+1F326 U+FE0F
🌧️,Pioggia,U+1F327 U+FE0F
🌨️,Neve,U+1F328 U+FE0F
🌩️,Fulmini,U+1F329 U+FE0F
🌪️,Tornado,U+1F32A U+FE0F
🌫️,Nebbia,U+1F32B U+FE0F
🌬️,Vento,U+1F32C U+FE0F
🌀,Ciclone,U+1F300
🌈,Arcobaleno,U+1F308
🌂,Ombrello Chiuso,U+1F302
☂️,Ombrello,U+2602 U+FE0F
☔,Ombrello Con Gocce Di Pioggia,U+2614
⛱️,Ombrellone,U+26F1 U+FE0F
⚡,Alta Tensione,U+26A1
❄️,Fiocco Di Neve,U+2744 U+FE0F
☃️,Pupazzo Di Neve,U+2603 U+FE0F
⛄,Pupazzo Di Neve Senza Neve,U+26C4
☄️,Cometa,U+2604 U+FE0F
🔥,Fuoco,U+1F525
💧,Goccia,U+1F4A7
🌊,Onda,U+1F30A
🎃,Zucca Di Halloween,U+1F383
🎄,Albero Di Natale,U+1F384
🎆,Fuochi D’artificio,U+1F386
🎇,Stellina Scintillante,U+1F387
🧨,Petardo,U+1F9E8
✨,Stelline,U+2728
🎈,Palloncino,U+1F388
🎉,Spara Coriandoli,U+1F389
🎊,Coriandoli,U+1F38A
🎋,Albero Decorato,U+1F38B
🎍,Bambù Decorato,U+1F38D
🎎,Bambole Giapponesi,U+1F38E
🎏,Aquilone A Forma Di Carpa,U+1F38F
🎐,Campana Al Vento,U+1F390
🎑,Contemplazione Della Luna,U+1F391
🧧,Busta Rossa,U+1F9E7
🎀,Fiocco,U+1F380
🎁,Regalo,U+1F381
🎗️,Nastro,U+1F397 U+FE0F
🎟️,Biglietto D’ingresso,U+1F39F U+FE0F
🎫,Biglietto,U+1F3AB
🎖️,Medaglia Militare,U+1F396 U+FE0F
🏆,Coppa,U+1F3C6
🏅,Medaglia Sportiva,U+1F3C5
🥇,Medaglia D’oro,U+1F947
🥈,Medaglia D’argento,U+1F948
🥉,Medaglia Di Bronzo,U+1F949
⚽,Pallone Da Calcio,U+26BD
⚾,Palla Da Baseball,U+26BE
🥎,Palla Da Softball,U+1F94E
🏀,Palla Da Pallacanestro,U+1F3C0
🏐,Palla Da Pallavolo,U+1F3D0
🏈,Football Americano,U+1F3C8
🏉,Pallone Da Rugby,U+1F3C9
🎾,Tennis,U+1F3BE
🥏,Frisbee,U+1F94F
🎳,Bowling,U+1F3B3
🏏,Cricket,U+1F3CF
🏑,Hockey Su Prato,U+1F3D1
🏒,Hockey Su Ghiaccio,U+1F3D2
🥍,Lacrosse,U+1F94D
🏓,Ping Pong,U+1F3D3
🏸,Badminton,U+1F3F8
🥊,Guantone Da Pugilato,U+1F94A
🥋,Kimono Per Arti Marziali,U+1F94B
🥅,Porta Da Calcio,U+1F945
⛳,Bandiera In Buca,U+26F3
